id,name,brand,processed_date,method,status,confidence_score,ingredients,allergens,barcode,serving_size,servings_per_pack,energy_kcal_100g,energy_kj_100g,fat_100g,saturated_fat_100g,carbs_100g,sugar_100g,fiber_100g,protein_100g,salt_100g,sodium_100g,energy_kcal_per_serving,energy_kj_per_serving,fat_per_serving,saturated_fat_per_serving,carbs_per_serving,sugar_per_serving,fiber_per_serving,protein_per_serving,salt_per_serving,source_url,extraction_notes
6,Sea Bass,ASDA,2025-09-11T11:50:48.584502,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/shop/fresh-food/chilled-fish-and-seafood/all,
7,Cauliflower,Sainsbury's,2025-09-11T11:51:01.338525,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/297395359,
8,White Flute,,2025-09-11T11:51:05.416185,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/251762957,
10,Star Pasta,Sainsbury'S'sâ€™S,2025-09-11T11:51:10.970701,failed,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lime Cordial,Sainsbury's,2025-09-11T11:51:13.658425,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/260097573,
13,Be Good to Yourself Mediterranean Vegetable Pasta,Sainsbury's,2025-09-11T11:51:18.292784,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/267317096,
14,Spring Onion,Sainsbury's,2025-09-11T11:51:35.297811,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/315470577,
30,Sausage Sarnie with Ketchup,Walkers,2025-09-11T11:51:38.918755,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/316951312,
34,Walkers Each 25G Serving Contains Fatturat Sugars,Walkers,2025-09-11T11:51:43.205065,failed,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Noix De Cajou Vrac,Biocoop,2025-09-11T11:51:47.926984,failed,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bio Te Verde,Lord Nelson,2025-09-11T11:51:53.045093,failed,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Black Tea,Tetley,2025-09-11T11:52:11.073381,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/306658721,
41,Mr Kipling 6 Chocolate and Caramel Bakewell Tarts,,2025-09-11T11:52:14.516445,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/268405088,
42,Sweet Mango Chutney,Sainsbury's,2025-09-11T11:52:17.907783,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/272431822,
45,Peach,Sainsbury's,2025-09-11T11:52:35.195742,web_scraping,partial,60,,,,Per 100g,,,,,,,,,,,,,,,,,,,,,https://www.tesco.com/groceries/en-GB/products/302196419,
